device_id,timestamp,temperature,humidity,vibration_x,vibration_y,vibration_z
esp32-kalaneuvos-01,1785564000000,3.72,52.2,-0.135,-0.166,9.905
esp32-kalaneuvos-01,1785564005000,3.78,57.4,-0.248,-0.047,9.622
esp32-kalaneuvos-01,1785564010000,3.05,55.0,-0.284,-0.181,9.87
esp32-kalaneuvos-01,1785564015000,3.57,53.3,0.054,0.186,9.613
esp32-kalaneuvos-01,1785564020000,3.99,56.2,-0.096,-0.207,9.993
esp32-kalaneuvos-01,1785564025000,3.24,52.6,-0.242,0.208,9.851
esp32-kalaneuvos-01,1785564030000,3.99,56.4,0.022,0.284,9.761
esp32-kalaneuvos-01,1785564035000,3.58,57.0,0.071,0.217,9.841
esp32-kalaneuvos-01,1785564040000,3.83,52.3,-0.163,-0.126,9.642
esp32-kalaneuvos-01,1785564045000,3.07,52.6,-0.133,0.081,9.756
esp32-kalaneuvos-01,1785564050000,3.29,53.3,-0.14,0.262,9.869
esp32-kalaneuvos-01,1785564055000,3.67,53.0,0.137,-0.202,9.762
esp32-kalaneuvos-01,1785564060000,4.28,55.8,0.034,0.111,9.947
esp32-kalaneuvos-01,1785564065000,3.94,53.4,-0.281,-0.111,9.717
esp32-kalaneuvos-01,1785564070000,3.04,57.7,0.226,-0.111,9.872
esp32-kalaneuvos-01,1785564075000,3.33,57.5,-0.025,-0.141,9.709
esp32-kalaneuvos-01,1785564080000,3.6,53.6,0.051,0.239,9.77
esp32-kalaneuvos-01,1785564085000,3.05,58.0,0.006,-0.245,9.629
esp32-kalaneuvos-01,1785564090000,2.88,55.8,0.175,-0.047,9.635
esp32-kalaneuvos-01,1785564095000,3.31,58.0,0.017,0.283,9.954
esp32-kalaneuvos-01,1785564100000,2.72,56.3,0.109,0.022,9.717
esp32-kalaneuvos-01,1785564105000,3.73,52.7,-0.039,-0.028,9.992
esp32-kalaneuvos-01,1785564110000,4.1,53.6,0.0,-0.193,9.975
esp32-kalaneuvos-01,1785564115000,4.09,53.8,0.083,0.065,9.671
esp32-kalaneuvos-01,1785564120000,3.92,55.2,0.167,0.018,9.61
esp32-kalaneuvos-01,1785564125000,3.22,52.1,0.257,0.227,9.943
esp32-kalaneuvos-01,1785564130000,3.19,52.3,0.227,0.268,9.644
esp32-kalaneuvos-01,1785564135000,3.48,52.4,0.156,0.16,9.661
esp32-kalaneuvos-01,1785564140000,3.46,55.3,-0.141,0.223,9.779
esp32-kalaneuvos-01,1785564145000,3.04,55.2,0.138,-0.179,9.735
esp32-kalaneuvos-01,1785564150000,4.29,55.9,-0.037,0.011,9.658
esp32-kalaneuvos-01,1785564155000,3.06,54.0,0.053,-0.162,9.698
esp32-kalaneuvos-01,1785564160000,2.81,55.8,-0.163,0.243,9.954
esp32-kalaneuvos-01,1785564165000,2.81,53.4,0.101,-0.171,9.663
esp32-kalaneuvos-01,1785564170000,4.2,55.4,-0.016,0.171,9.933
esp32-kalaneuvos-01,1785564175000,3.0,52.6,-0.041,-0.046,9.797
esp32-kalaneuvos-01,1785564180000,3.87,56.0,0.29,-0.241,9.771
esp32-kalaneuvos-01,1785564185000,3.24,57.2,-0.151,-0.186,9.789
esp32-kalaneuvos-01,1785564190000,3.38,53.7,-0.15,0.254,9.787
esp32-kalaneuvos-01,1785564195000,4.08,55.3,-0.27,0.3,9.944
esp32-kalaneuvos-01,1785564200000,4.25,57.6,4.821,5.102,9.804
esp32-kalaneuvos-01,1785564205000,2.79,54.3,0.291,-0.141,9.924
esp32-kalaneuvos-01,1785564210000,3.43,54.5,0.274,0.297,9.832
esp32-kalaneuvos-01,1785564215000,3.85,52.9,-0.122,0.281,9.842
esp32-kalaneuvos-01,1785564220000,3.57,56.5,-0.266,0.051,9.811
esp32-kalaneuvos-01,1785564225000,4.06,52.9,0.276,-0.252,9.684
esp32-kalaneuvos-01,1785564230000,3.65,56.1,-0.159,-0.228,9.966
esp32-kalaneuvos-01,1785564235000,3.09,55.6,0.072,-0.048,9.843
esp32-kalaneuvos-01,1785564240000,3.54,57.6,-0.177,0.13,9.705
esp32-kalaneuvos-01,1785564245000,3.33,56.0,-0.12,-0.11,9.911
esp32-kalaneuvos-01,1785564250000,2.82,54.7,0.299,0.298,9.639
esp32-kalaneuvos-01,1785564255000,3.04,53.6,0.26,0.229,9.962
esp32-kalaneuvos-01,1785564260000,3.29,52.9,0.2,0.122,9.855
esp32-kalaneuvos-01,1785564265000,4.28,55.9,-0.295,0.19,9.73
esp32-kalaneuvos-01,1785564270000,3.76,57.6,-0.219,-0.231,9.653
esp32-kalaneuvos-01,1785564275000,3.59,53.6,0.063,0.131,9.691
esp32-kalaneuvos-01,1785564280000,3.71,53.6,-0.007,0.243,9.948
esp32-kalaneuvos-01,1785564285000,2.85,54.5,-0.134,-0.298,9.918
esp32-kalaneuvos-01,1785564290000,3.72,53.6,0.145,0.031,9.781
esp32-kalaneuvos-01,1785564295000,2.72,52.5,0.23,0.242,9.828
